campaign_id,campaign_name,date,day_number,daily_spend,cum_spend,total_budget,daily_budget_target,expected_cum_spend,pacing_pct,health_band,is_ground_truth_flagged
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-01,1,146.29,146.29,6125.48,102.09,102.09,143.3,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-02,2,131.59,277.88,6125.48,102.09,204.18,136.1,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-03,3,142.95,420.83,6125.48,102.09,306.27,137.4,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-04,4,152.37,573.2,6125.48,102.09,408.36,140.4,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-05,5,132.25,705.45,6125.48,102.09,510.45,138.2,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-06,6,141.01,846.46,6125.48,102.09,612.54,138.2,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-07,7,143.23,989.6899999999999,6125.48,102.09,714.63,138.5,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-08,8,136.96,1126.65,6125.48,102.09,816.72,137.9,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-09,9,132.71,1259.36,6125.48,102.09,918.81,137.1,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-10,10,128.8,1388.16,6125.48,102.09,1020.9,136.0,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-11,11,129.27,1517.43,6125.48,102.09,1122.99,135.1,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-12,12,148.24,1665.67,6125.48,102.09,1225.08,136.0,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-13,13,145.08,1810.75,6125.48,102.09,1327.17,136.4,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-14,14,140.25,1951.0,6125.48,102.09,1429.26,136.5,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-15,15,134.22,2085.2200000000003,6125.48,102.09,1531.35,136.2,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-16,16,140.89,2226.11,6125.48,102.09,1633.44,136.3,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2025-12-17,17,152.36,2378.4700000000003,6125.48,102.09,1735.53,137.0,Overpacing,True
