campaign_id,hour,click_count,campaign_name,is_fraud_campaign
1,0,60,Whiteboard One-To-One Web-Readiness Campaign,False
1,1,82,Whiteboard One-To-One Web-Readiness Campaign,False
1,2,65,Whiteboard One-To-One Web-Readiness Campaign,False
1,3,75,Whiteboard One-To-One Web-Readiness Campaign,False
1,4,65,Whiteboard One-To-One Web-Readiness Campaign,False
1,5,91,Whiteboard One-To-One Web-Readiness Campaign,False
1,6,64,Whiteboard One-To-One Web-Readiness Campaign,False
1,7,65,Whiteboard One-To-One Web-Readiness Campaign,False
1,8,69,Whiteboard One-To-One Web-Readiness Campaign,False
1,9,69,Whiteboard One-To-One Web-Readiness Campaign,False
1,10,82,Whiteboard One-To-One Web-Readiness Campaign,False
1,11,63,Whiteboard One-To-One Web-Readiness Campaign,False
1,12,74,Whiteboard One-To-One Web-Readiness Campaign,False
1,13,92,Whiteboard One-To-One Web-Readiness Campaign,False
1,14,63,Whiteboard One-To-One Web-Readiness Campaign,False
1,15,70,Whiteboard One-To-One Web-Readiness Campaign,False
1,16,78,Whiteboard One-To-One Web-Readiness Campaign,False
1,17,78,Whiteboard One-To-One Web-Readiness Campaign,False
1,18,81,Whiteboard One-To-One Web-Readiness Campaign,False
1,19,79,Whiteboard One-To-One Web-Readiness Campaign,False
1,20,83,Whiteboard One-To-One Web-Readiness Campaign,False
1,21,69,Whiteboard One-To-One Web-Readiness Campaign,False
1,22,85,Whiteboard One-To-One Web-Readiness Campaign,False
1,23,90,Whiteboard One-To-One Web-Readiness Campaign,False
2,0,111,Innovate E-Business Applications Campaign,False
2,1,113,Innovate E-Business Applications Campaign,False
2,2,127,Innovate E-Business Applications Campaign,False
2,3,140,Innovate E-Business Applications Campaign,False
2,4,154,Innovate E-Business Applications Campaign,False
2,5,153,Innovate E-Business Applications Campaign,False
2,6,137,Innovate E-Business Applications Campaign,False
2,7,123,Innovate E-Business Applications Campaign,False
2,8,129,Innovate E-Business Applications Campaign,False
2,9,124,Innovate E-Business Applications Campaign,False
2,10,132,Innovate E-Business Applications Campaign,False
2,11,128,Innovate E-Business Applications Campaign,False
2,12,116,Innovate E-Business Applications Campaign,False
2,13,125,Innovate E-Business Applications Campaign,False
2,14,128,Innovate E-Business Applications Campaign,False
2,15,134,Innovate E-Business Applications Campaign,False
2,16,136,Innovate E-Business Applications Campaign,False
2,17,129,Innovate E-Business Applications Campaign,False
2,18,115,Innovate E-Business Applications Campaign,False
2,19,114,Innovate E-Business Applications Campaign,False
2,20,131,Innovate E-Business Applications Campaign,False
2,21,140,Innovate E-Business Applications Campaign,False
2,22,136,Innovate E-Business Applications Campaign,False
2,23,121,Innovate E-Business Applications Campaign,False
3,0,155,Enhance Proactive Schemas Campaign,False
3,1,145,Enhance Proactive Schemas Campaign,False
3,2,113,Enhance Proactive Schemas Campaign,False
3,3,150,Enhance Proactive Schemas Campaign,False
3,4,152,Enhance Proactive Schemas Campaign,False
3,5,132,Enhance Proactive Schemas Campaign,False
3,6,153,Enhance Proactive Schemas Campaign,False
3,7,141,Enhance Proactive Schemas Campaign,False
3,8,143,Enhance Proactive Schemas Campaign,False
